selfUrl,id,createdDate,fixVersions,affectedVersions
https://issues.apache.org/jira/rest/api/2/issue/13623411,13623411,2025-07-15,[4.1.2],[4.1.1]
https://issues.apache.org/jira/rest/api/2/issue/13622051,13622051,2025-06-28,[4.1.2],[4.1.1]
https://issues.apache.org/jira/rest/api/2/issue/13621211,13621211,2025-06-18,[4.1.2],[4.1.1]
https://issues.apache.org/jira/rest/api/2/issue/13621174,13621174,2025-06-18,[],[4.1.1]
https://issues.apache.org/jira/rest/api/2/issue/13614695,13614695,2025-04-09,[4.1.1],"[4.0.1, 4.1.0]"
https://issues.apache.org/jira/rest/api/2/issue/13605430,13605430,2025-01-17,[4.1.0],[4.0.1]
https://issues.apache.org/jira/rest/api/2/issue/13605078,13605078,2025-01-15,[4.1.0],[4.0.1]
https://issues.apache.org/jira/rest/api/2/issue/13602968,13602968,2024-12-22,[4.1.0],[4.0.1]
https://issues.apache.org/jira/rest/api/2/issue/13593524,13593524,2024-09-27,[4.1.0],[4.0.1]
https://issues.apache.org/jira/rest/api/2/issue/13590180,13590180,2024-08-27,[4.1.1],"[3.2.2, 4.0.0]"
https://issues.apache.org/jira/rest/api/2/issue/13585390,13585390,2024-07-11,[4.0.1],[4.0.0]
https://issues.apache.org/jira/rest/api/2/issue/13580595,13580595,2024-05-27,[4.0.1],[4.0.0]
https://issues.apache.org/jira/rest/api/2/issue/13560226,13560226,2023-12-01,[],[]
https://issues.apache.org/jira/rest/api/2/issue/13551137,13551137,2023-09-18,"[3.2.3, 4.0.0]",[3.2.2]
https://issues.apache.org/jira/rest/api/2/issue/13533336,13533336,2023-04-20,[],[3.2.2]
https://issues.apache.org/jira/rest/api/2/issue/13427435,13427435,2022-02-09,[4.1.0],"[3.2.1, 3.2.2]"
https://issues.apache.org/jira/rest/api/2/issue/13418216,13418216,2021-12-17,[3.2.1],[]
https://issues.apache.org/jira/rest/api/2/issue/13414503,13414503,2021-11-30,[3.2.1],[3.2.0]
https://issues.apache.org/jira/rest/api/2/issue/13413196,13413196,2021-11-22,[3.2.1],[3.2.0]
https://issues.apache.org/jira/rest/api/2/issue/13407779,13407779,2021-10-21,[3.2.1],[3.2.0]
https://issues.apache.org/jira/rest/api/2/issue/13406236,13406236,2021-10-12,[3.2.1],[2.2.3]
https://issues.apache.org/jira/rest/api/2/issue/13389149,13389149,2021-07-12,[3.2.1],[]
https://issues.apache.org/jira/rest/api/2/issue/13383264,13383264,2021-06-10,[3.2.1],[3.0.0]
https://issues.apache.org/jira/rest/api/2/issue/13377427,13377427,2021-05-08,[3.2.0],[3.2.0]
https://issues.apache.org/jira/rest/api/2/issue/13370796,13370796,2021-04-10,[3.2.0],[3.1.2]
https://issues.apache.org/jira/rest/api/2/issue/13370640,13370640,2021-04-09,[3.2.0],[3.1.2]
https://issues.apache.org/jira/rest/api/2/issue/13370381,13370381,2021-04-08,[3.2.0],[3.1.2]
https://issues.apache.org/jira/rest/api/2/issue/13370336,13370336,2021-04-08,[3.2.0],[3.1.2]
https://issues.apache.org/jira/rest/api/2/issue/13369867,13369867,2021-04-06,[3.2.0],[3.1.2]
https://issues.apache.org/jira/rest/api/2/issue/13369821,13369821,2021-04-06,[3.2.0],[3.1.2]
https://issues.apache.org/jira/rest/api/2/issue/13369612,13369612,2021-04-05,[3.2.0],[3.1.2]
https://issues.apache.org/jira/rest/api/2/issue/13369478,13369478,2021-04-04,[3.2.0],[3.1.2]
https://issues.apache.org/jira/rest/api/2/issue/13369444,13369444,2021-04-03,[3.2.0],[3.1.2]
https://issues.apache.org/jira/rest/api/2/issue/13369411,13369411,2021-04-03,[3.2.0],[3.1.2]
https://issues.apache.org/jira/rest/api/2/issue/13369393,13369393,2021-04-03,[3.2.0],[3.1.2]
https://issues.apache.org/jira/rest/api/2/issue/13369194,13369194,2021-04-01,[3.2.0],[3.2.0]
https://issues.apache.org/jira/rest/api/2/issue/13369137,13369137,2021-04-01,[3.2.0],[3.1.2]
https://issues.apache.org/jira/rest/api/2/issue/13368675,13368675,2021-03-30,[3.2.0],[3.1.2]
https://issues.apache.org/jira/rest/api/2/issue/13368546,13368546,2021-03-30,[3.2.0],[3.1.2]
https://issues.apache.org/jira/rest/api/2/issue/13368188,13368188,2021-03-28,[3.2.0],[3.1.2]
https://issues.apache.org/jira/rest/api/2/issue/13362330,13362330,2021-03-04,[],[3.1.2]
https://issues.apache.org/jira/rest/api/2/issue/13347111,13347111,2020-12-21,[3.2.0],[3.1.2]
https://issues.apache.org/jira/rest/api/2/issue/13343524,13343524,2020-12-01,[3.2.0],[3.1.2]
https://issues.apache.org/jira/rest/api/2/issue/13343379,13343379,2020-11-30,[3.2.0],[3.1.2]
https://issues.apache.org/jira/rest/api/2/issue/13330140,13330140,2020-09-30,[3.2.0],[3.1.1]
https://issues.apache.org/jira/rest/api/2/issue/13329774,13329774,2020-09-28,[3.2.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13327700,13327700,2020-09-15,[3.2.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13327695,13327695,2020-09-15,[3.2.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13327639,13327639,2020-09-15,[3.2.0],[3.1.2]
https://issues.apache.org/jira/rest/api/2/issue/13326284,13326284,2020-09-07,[],[]
https://issues.apache.org/jira/rest/api/2/issue/13318915,13318915,2020-07-23,[3.2.0],[3.1.2]
https://issues.apache.org/jira/rest/api/2/issue/13300132,13300132,2020-04-22,[3.1.2],[3.1.1]
https://issues.apache.org/jira/rest/api/2/issue/13288239,13288239,2020-02-28,[3.1.2],[3.1.1]
https://issues.apache.org/jira/rest/api/2/issue/13281596,13281596,2020-01-26,[1.3.0],[3.1.0]
https://issues.apache.org/jira/rest/api/2/issue/13275175,13275175,2019-12-18,[3.1.1],[3.1.0]
https://issues.apache.org/jira/rest/api/2/issue/13253665,13253665,2019-08-29,[3.2.0],"[2.4.3, 3.1.0]"
https://issues.apache.org/jira/rest/api/2/issue/13241314,13241314,2019-06-24,"[2.4.4, 3.1.0]",[2.4.3]
https://issues.apache.org/jira/rest/api/2/issue/13240239,13240239,2019-06-18,[3.2.0],[2.4.3]
https://issues.apache.org/jira/rest/api/2/issue/13228776,13228776,2019-04-18,[3.2.0],[3.1.0]
https://issues.apache.org/jira/rest/api/2/issue/13227117,13227117,2019-04-10,[3.1.0],[3.1.0]
https://issues.apache.org/jira/rest/api/2/issue/13223173,13223173,2019-03-21,"[2.4.4, 3.1.0]",[]
https://issues.apache.org/jira/rest/api/2/issue/13222843,13222843,2019-03-20,"[2.4.4, 3.1.0]","[2.4.2, 2.4.3, 3.0.0]"
https://issues.apache.org/jira/rest/api/2/issue/13218858,13218858,2019-03-01,[3.1.0],[3.0.0]
https://issues.apache.org/jira/rest/api/2/issue/13213478,13213478,2019-02-02,[3.1.0],[3.0.0]
https://issues.apache.org/jira/rest/api/2/issue/13213471,13213471,2019-02-02,[3.1.0],[3.0.0]
https://issues.apache.org/jira/rest/api/2/issue/13211132,13211132,2019-01-22,[3.1.0],"[2.4.2, 2.4.3, 3.0.0]"
https://issues.apache.org/jira/rest/api/2/issue/13208761,13208761,2019-01-10,[3.1.0],[3.0.0]
https://issues.apache.org/jira/rest/api/2/issue/13207236,13207236,2019-01-02,[3.1.0],[3.0.0]
https://issues.apache.org/jira/rest/api/2/issue/13203088,13203088,2018-12-07,[3.1.0],"[2.2.1, 2.4.3, 3.0.0]"
https://issues.apache.org/jira/rest/api/2/issue/13197604,13197604,2018-11-10,[3.1.0],[3.0.0]
https://issues.apache.org/jira/rest/api/2/issue/13197602,13197602,2018-11-10,[3.1.0],[3.0.0]
https://issues.apache.org/jira/rest/api/2/issue/13179257,13179257,2018-08-16,[3.1.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13171751,13171751,2018-07-12,[3.1.1],[2.4.2]
https://issues.apache.org/jira/rest/api/2/issue/13169066,13169066,2018-06-29,"[2.4.4, 3.1.0]","[2.4.3, 3.0.0]"
https://issues.apache.org/jira/rest/api/2/issue/13150873,13150873,2018-04-09,[3.1.0],[2.4.2]
https://issues.apache.org/jira/rest/api/2/issue/13148406,13148406,2018-03-27,"[2.2.3, 3.2.0]",[2.2.2]
https://issues.apache.org/jira/rest/api/2/issue/13128235,13128235,2018-01-03,"[2.4.3, 3.0.0]","[2.2.3, 2.4.2]"
https://issues.apache.org/jira/rest/api/2/issue/13089058,13089058,2017-07-21,[],[3.0.0]
https://issues.apache.org/jira/rest/api/2/issue/13087231,13087231,2017-07-14,"[2.1.2, 2.2.3]",[2.1.1]
https://issues.apache.org/jira/rest/api/2/issue/13085509,13085509,2017-07-07,"[2.2.3, 2.4.4, 3.1.0]",[2.2.2]
https://issues.apache.org/jira/rest/api/2/issue/13068265,13068265,2017-05-01,"[2.4.3, 3.0.0]",[2.2.2]
https://issues.apache.org/jira/rest/api/2/issue/13049729,13049729,2017-03-09,"[2.4.3, 3.0.0]",[2.4.2]
https://issues.apache.org/jira/rest/api/2/issue/13049689,13049689,2017-03-09,"[2.4.3, 3.0.0]",[2.4.2]
https://issues.apache.org/jira/rest/api/2/issue/13046596,13046596,2017-02-27,"[2.4.3, 3.0.0]","[2.4.2, 3.0.0]"
https://issues.apache.org/jira/rest/api/2/issue/13028389,13028389,2016-12-15,"[2.4.2, 3.0.0]","[2.3.0, 2.4.1]"
https://issues.apache.org/jira/rest/api/2/issue/13013779,13013779,2016-10-20,"[2.4.2, 3.0.0]",[2.4.1]
https://issues.apache.org/jira/rest/api/2/issue/13013777,13013777,2016-10-20,"[2.4.2, 3.0.0]",[2.4.1]
https://issues.apache.org/jira/rest/api/2/issue/13013140,13013140,2016-10-18,"[2.4.2, 3.0.0]",[2.4.1]
https://issues.apache.org/jira/rest/api/2/issue/13011662,13011662,2016-10-12,[3.1.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13011101,13011101,2016-10-10,"[2.2.3, 2.4.2, 3.0.0]","[2.2.3, 2.4.1]"
https://issues.apache.org/jira/rest/api/2/issue/12998751,12998751,2016-08-21,[3.0.0],[2.4.1]
https://issues.apache.org/jira/rest/api/2/issue/12995760,12995760,2016-08-08,"[2.2.3, 2.4.0, 2.4.2]","[2.2.2, 2.3.0, 2.4.1]"
https://issues.apache.org/jira/rest/api/2/issue/12989655,12989655,2016-07-15,"[2.2.3, 2.4.0, 2.4.2]","[2.2.3, 2.3.0, 2.4.2]"
https://issues.apache.org/jira/rest/api/2/issue/12986113,12986113,2016-07-01,[3.2.0],[2.4.1]
https://issues.apache.org/jira/rest/api/2/issue/12981420,12981420,2016-06-21,"[2.2.3, 2.4.3, 3.0.0]","[2.2.3, 2.4.1]"
https://issues.apache.org/jira/rest/api/2/issue/12980275,12980275,2016-06-17,[2.2.3],"[1.1.0, 1.2.3, 1.3.0, 2.0.1, 2.1.2, 2.2.2, 2.3.0]"
https://issues.apache.org/jira/rest/api/2/issue/12958112,12958112,2016-04-12,[2.4.2],[2.4.1]
https://issues.apache.org/jira/rest/api/2/issue/12956186,12956186,2016-04-05,[],[2.2.2]
https://issues.apache.org/jira/rest/api/2/issue/12954855,12954855,2016-03-31,"[2.2.3, 2.4.2]","[2.2.3, 2.4.2]"
https://issues.apache.org/jira/rest/api/2/issue/12946975,12946975,2016-03-04,[2.4.2],[2.4.1]
https://issues.apache.org/jira/rest/api/2/issue/12938647,12938647,2016-02-11,"[2.1.2, 2.2.1.1, 2.2.3, 2.4.2]","[2.1.2, 2.2.3, 2.4.1]"
https://issues.apache.org/jira/rest/api/2/issue/12936155,12936155,2016-02-02,[],"[1.2.3, 2.3.0]"
https://issues.apache.org/jira/rest/api/2/issue/12935076,12935076,2016-01-29,[2.4.1],[2.4.0]
https://issues.apache.org/jira/rest/api/2/issue/12916621,12916621,2015-11-27,[2.4.1],[2.4.0]
https://issues.apache.org/jira/rest/api/2/issue/12915363,12915363,2015-11-23,[2.4.1],"[1.0.0, 1.0.1, 1.0.2, 1.0.3, 1.0.4, 1.1.0, 1.2.0, 1.2.1, 1.2.2, 1.2.3, 2.0.0, 2.0.1, 2.1.0, 2.1.1, 2.2.0, 2.2.1, 2.2.2, 2.3.0, 2.4.0]"
https://issues.apache.org/jira/rest/api/2/issue/12913703,12913703,2015-11-17,[3.2.1],[2.4.0]
https://issues.apache.org/jira/rest/api/2/issue/12902522,12902522,2015-10-05,"[2.1.2, 2.2.1.1, 2.2.3, 2.4.1]","[2.2.3, 2.4.0]"
https://issues.apache.org/jira/rest/api/2/issue/12854226,12854226,2015-08-11,"[2.2.3, 2.4.1]","[2.2.2, 2.4.0]"
https://issues.apache.org/jira/rest/api/2/issue/12852374,12852374,2015-08-05,"[2.1.2, 2.2.1.1, 2.2.3, 2.4.1]","[2.1.2, 2.2.1.1, 2.2.3, 2.4.1]"
https://issues.apache.org/jira/rest/api/2/issue/12846325,12846325,2015-07-20,[2.4.1],"[2.3.0, 2.4.0]"
https://issues.apache.org/jira/rest/api/2/issue/12841422,12841422,2015-06-29,[2.4.1],[2.4.0]
https://issues.apache.org/jira/rest/api/2/issue/12841234,12841234,2015-06-29,[2.4.1],[]
https://issues.apache.org/jira/rest/api/2/issue/12835928,12835928,2015-06-06,[2.4.1],[2.4.0]
https://issues.apache.org/jira/rest/api/2/issue/12830023,12830023,2015-05-15,"[2.0.2, 2.1.2, 2.2.1.1, 2.2.3, 2.4.1]","[2.1.2, 2.2.2, 2.2.1.1, 2.4.1]"
https://issues.apache.org/jira/rest/api/2/issue/12827195,12827195,2015-05-05,[2.4.1],[2.4.0]
https://issues.apache.org/jira/rest/api/2/issue/12818810,12818810,2015-04-07,[2.4.0],[2.3.0]
https://issues.apache.org/jira/rest/api/2/issue/12782204,12782204,2015-03-16,[2.4.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12777706,12777706,2015-02-25,"[2.1.2, 2.2.1.1, 2.2.3, 2.4.0]","[2.2.3, 2.4.0]"
https://issues.apache.org/jira/rest/api/2/issue/12771750,12771750,2015-02-02,"[2.4.4, 3.1.0]",[2.3.0]
https://issues.apache.org/jira/rest/api/2/issue/12766612,12766612,2015-01-10,"[2.1.2, 2.2.1.1, 2.2.3, 2.4.0]","[2.1.2, 2.2.2, 2.2.1.1, 2.3.0, 2.4.0]"
https://issues.apache.org/jira/rest/api/2/issue/12765122,12765122,2015-01-06,[3.1.0],"[2.2.2, 2.3.0]"
https://issues.apache.org/jira/rest/api/2/issue/12760787,12760787,2014-12-10,[2.4.0],"[2.2.1, 2.2.2, 2.3.0]"
