2026-02-03 01:39:39.543 [main] INFO  it.flaviosimonelli.isw2.Main - Avvio applicazione ISW2 Prediction...
2026-02-03 01:39:39.548 [main] INFO  it.flaviosimonelli.isw2.Main - Project: BOOKKEEPER
2026-02-03 01:39:39.549 [main] INFO  it.flaviosimonelli.isw2.Main - Execution Mode: CORRELATION_ONLY
2026-02-03 01:39:39.550 [main] INFO  it.flaviosimonelli.isw2.Main - Base Output Dir: C:\Users\flavi\Projects\ProjectAnalyzerAI\.\results
2026-02-03 01:39:39.550 [main] INFO  it.flaviosimonelli.isw2.Main - >>> STEP 2: Analisi Correlazione
2026-02-03 01:39:39.551 [main] INFO  i.f.i.c.CorrelationReportController - === START CORRELATION REPORT ===
2026-02-03 01:39:39.551 [main] INFO  i.f.i.c.CorrelationReportController - Input: .\results\dataset\BOOKKEEPER_dataset.csv
2026-02-03 01:39:40.190 [main] INFO  i.flaviosimonelli.isw2.util.CsvUtils - CSV scritto con successo: .\results\correlation\BOOKKEEPER_correlation.csv
2026-02-03 01:39:40.190 [main] INFO  i.f.i.c.CorrelationReportController - --- TOP 3 METRICS (Spearman) ---
2026-02-03 01:39:40.191 [main] INFO  i.f.i.c.CorrelationReportController - NR -> Spear: 0.282, Pears: 0.167
2026-02-03 01:39:40.191 [main] INFO  i.f.i.c.CorrelationReportController - NAuth -> Spear: 0.280, Pears: 0.264
2026-02-03 01:39:40.191 [main] INFO  i.f.i.c.CorrelationReportController - MAX_Churn -> Spear: 0.277, Pears: 0.031
2026-02-03 01:39:40.191 [main] INFO  i.f.i.c.CorrelationReportController - Report salvato in: .\results\correlation\BOOKKEEPER_correlation.csv
2026-02-03 01:39:40.191 [main] INFO  i.f.i.c.CorrelationReportController - === END CORRELATION REPORT ===
2026-02-03 01:39:40.191 [main] INFO  it.flaviosimonelli.isw2.Main - === PROCESSO TERMINATO CON SUCCESSO ===
