selfUrl,id,createdDate,fixVersions,affectedVersions
https://issues.apache.org/jira/rest/api/2/issue/13093560,13093560,2017-08-09,"[4.6.0, 4.5.1]",[4.5.0]
https://issues.apache.org/jira/rest/api/2/issue/13090630,13090630,2017-07-27,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13090345,13090345,2017-07-26,[4.5.0],[4.5.0]
https://issues.apache.org/jira/rest/api/2/issue/13089196,13089196,2017-07-22,[4.5.0],[4.5.0]
https://issues.apache.org/jira/rest/api/2/issue/13088111,13088111,2017-07-19,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13079900,13079900,2017-06-14,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13075184,13075184,2017-05-26,[4.5.0],[4.5.0]
https://issues.apache.org/jira/rest/api/2/issue/13074734,13074734,2017-05-25,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13074726,13074726,2017-05-25,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13074721,13074721,2017-05-25,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13074719,13074719,2017-05-25,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13074705,13074705,2017-05-25,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13072993,13072993,2017-05-18,[4.5.0],[4.5.0]
https://issues.apache.org/jira/rest/api/2/issue/13070947,13070947,2017-05-10,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13070900,13070900,2017-05-10,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13069215,13069215,2017-05-04,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13066528,13066528,2017-04-25,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13062979,13062979,2017-04-10,[4.5.0],[4.4.0]
https://issues.apache.org/jira/rest/api/2/issue/13061227,13061227,2017-04-03,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13060866,13060866,2017-04-01,[4.5.0],[4.5.0]
https://issues.apache.org/jira/rest/api/2/issue/13059492,13059492,2017-03-27,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13058450,13058450,2017-03-23,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13041402,13041402,2017-02-08,[4.5.0],[4.4.0]
https://issues.apache.org/jira/rest/api/2/issue/13029576,13029576,2016-12-20,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13028977,13028977,2016-12-18,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13028703,13028703,2016-12-16,[4.5.0],[4.5.0]
https://issues.apache.org/jira/rest/api/2/issue/13027880,13027880,2016-12-13,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13027149,13027149,2016-12-10,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13024170,13024170,2016-11-29,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13013834,13013834,2016-10-20,[4.5.0],[4.4.0]
https://issues.apache.org/jira/rest/api/2/issue/13013709,13013709,2016-10-19,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13013690,13013690,2016-10-19,[],[]
https://issues.apache.org/jira/rest/api/2/issue/13013675,13013675,2016-10-19,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13013669,13013669,2016-10-19,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/13012252,13012252,2016-10-14,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12988551,12988551,2016-07-12,[4.5.0],[4.5.0]
https://issues.apache.org/jira/rest/api/2/issue/12988400,12988400,2016-07-11,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12987909,12987909,2016-07-08,[4.5.0],[4.5.0]
https://issues.apache.org/jira/rest/api/2/issue/12980215,12980215,2016-06-17,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12969870,12969870,2016-05-15,[4.5.0],[4.3.2]
https://issues.apache.org/jira/rest/api/2/issue/12964106,12964106,2016-04-30,[4.4.0],[4.3.1]
https://issues.apache.org/jira/rest/api/2/issue/12963141,12963141,2016-04-27,[4.4.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12961723,12961723,2016-04-22,[4.5.0],[4.3.2]
https://issues.apache.org/jira/rest/api/2/issue/12957852,12957852,2016-04-11,[4.4.0],[4.4.0]
https://issues.apache.org/jira/rest/api/2/issue/12956990,12956990,2016-04-07,[4.4.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12956808,12956808,2016-04-07,[4.4.0],[4.4.0]
https://issues.apache.org/jira/rest/api/2/issue/12956594,12956594,2016-04-06,[4.4.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12956192,12956192,2016-04-05,[4.4.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12955528,12955528,2016-04-02,[4.4.0],[4.3.2]
https://issues.apache.org/jira/rest/api/2/issue/12955364,12955364,2016-04-01,[4.4.0],[4.3.2]
https://issues.apache.org/jira/rest/api/2/issue/12955079,12955079,2016-03-31,[4.4.0],[4.3.2]
https://issues.apache.org/jira/rest/api/2/issue/12954350,12954350,2016-03-29,[4.5.0],[4.3.2]
https://issues.apache.org/jira/rest/api/2/issue/12951034,12951034,2016-03-16,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12949941,12949941,2016-03-14,[4.4.0],[4.4.0]
https://issues.apache.org/jira/rest/api/2/issue/12948520,12948520,2016-03-09,[4.5.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12948158,12948158,2016-03-08,[4.4.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12945332,12945332,2016-02-29,[4.4.0],[4.3.2]
https://issues.apache.org/jira/rest/api/2/issue/12945296,12945296,2016-02-28,[4.4.0],[4.3.2]
https://issues.apache.org/jira/rest/api/2/issue/12945294,12945294,2016-02-28,[4.4.0],[4.3.2]
https://issues.apache.org/jira/rest/api/2/issue/12941500,12941500,2016-02-23,[4.4.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12937420,12937420,2016-02-08,[4.4.0],[4.3.2]
https://issues.apache.org/jira/rest/api/2/issue/12937075,12937075,2016-02-05,[4.4.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12936459,12936459,2016-02-03,[4.4.0],[4.3.2]
https://issues.apache.org/jira/rest/api/2/issue/12929512,12929512,2016-01-12,[],[]
https://issues.apache.org/jira/rest/api/2/issue/12916308,12916308,2015-11-25,"[4.4.0, 4.3.2]",[]
https://issues.apache.org/jira/rest/api/2/issue/12895181,12895181,2015-09-21,[],[]
https://issues.apache.org/jira/rest/api/2/issue/12852623,12852623,2015-08-06,[4.4.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12839410,12839410,2015-06-21,[],"[4.0.0, 4.3.0]"
https://issues.apache.org/jira/rest/api/2/issue/12833969,12833969,2015-05-30,[4.4.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12830941,12830941,2015-05-19,"[4.4.0, 4.3.1]",[]
https://issues.apache.org/jira/rest/api/2/issue/12820254,12820254,2015-04-10,[4.5.0],[4.3.0]
https://issues.apache.org/jira/rest/api/2/issue/12820202,12820202,2015-04-10,[4.4.0],[4.3.0]
https://issues.apache.org/jira/rest/api/2/issue/12786455,12786455,2015-03-28,[],[]
