Version,ReleaseIndex,ReleaseData,File,Class,Signature,LOC,NumStatements,NumParams,NumLocalVars,Cyclomatic,CognitiveComplexity,NestingDepth,ReturnTypeComplexity,CodeSmells,MethodHistories,N-Authors,Churn,Stmt_Added,Stmt_Deleted,Total_MethodHistories,Total_N-Authors,Total_Churn,Total_Stmt_Added,Total_Stmt_Deleted,isBuggy
4.0.0,1,2011-12-07,PubSubProtocol.MessageSeqId.Builder.java,PubSubProtocol.MessageSeqId.Builder,org.apache.hedwig.protocol.PubSubProtocol.MessageSeqId.Builder.buildPartial(),11,5,0,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,False
4.0.0,1,2011-12-07,PendingReadOp.java,PendingReadOp,org.apache.bookkeeper.client.PendingReadOp.submitCallback(int),3,1,1,0,1,0,0,1,0,1,1,2,1,1,1,1,2,1,1,True
4.0.0,1,2011-12-07,LedgerEntryPage.java,LedgerEntryPage,org.apache.bookkeeper.bookie.LedgerEntryPage.getLastEntry(),8,2,0,1,3,3,2,1,0,1,1,2,1,1,1,1,2,1,1,False
4.0.0,1,2011-12-07,HedwigClient.java,HedwigClient,org.apache.hedwig.client.HedwigClient.close(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.0.0,1,2011-12-07,SafeAsynBKCallback.CreateCallback.java,SafeAsynBKCallback.CreateCallback,"org.apache.hedwig.zookeeper.SafeAsynBKCallback.CreateCallback.safeCreateComplete(int, LedgerHandle, Object)",0,0,3,0,1,0,0,1,0,1,1,2,1,1,1,1,2,1,1,False
4.0.0,1,2011-12-07,AbstractSubscriptionManager.java,AbstractSubscriptionManager,"org.apache.hedwig.server.subscriptions.AbstractSubscriptionManager.createSubscriptionState(ByteString, ByteString, SubscriptionState, Callback, Object)",0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.0.0,1,2011-12-07,PubSubProtocol.PubSubRequest.java,PubSubProtocol.PubSubRequest,org.apache.hedwig.protocol.PubSubProtocol.PubSubRequest.hasStartDeliveryRequest(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.0.0,1,2011-12-07,PubSubProtocol.SubscribeRequest.Builder.java,PubSubProtocol.SubscribeRequest.Builder,org.apache.hedwig.protocol.PubSubProtocol.SubscribeRequest.Builder.getCreateOrAttach(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.0.0,1,2011-12-07,BookieServer.java,BookieServer,org.apache.bookkeeper.proto.BookieServer.join(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True
4.0.0,1,2011-12-07,NIOServerFactory.Cnxn.java,NIOServerFactory.Cnxn,org.apache.bookkeeper.proto.NIOServerFactory.Cnxn.getStats(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.0.0,1,2011-12-07,PubSubProtocol.LedgerRanges.java,PubSubProtocol.LedgerRanges,org.apache.hedwig.protocol.PubSubProtocol.LedgerRanges.getRangesCount(),3,1,0,0,1,0,0,1,0,1,1,10,2,8,1,1,10,2,8,False
4.0.0,1,2011-12-07,PubSubProtocol.SubscribeRequest.java,PubSubProtocol.SubscribeRequest,org.apache.hedwig.protocol.PubSubProtocol.SubscribeRequest.hasCreateOrAttach(),3,1,0,0,1,0,0,1,0,1,1,15,7,8,1,1,15,7,8,False
4.0.0,1,2011-12-07,BenchmarkUtils.BenchmarkCallback.java,BenchmarkUtils.BenchmarkCallback,org.apache.hedwig.client.benchmark.BenchmarkUtils.BenchmarkCallback.finish(boolean),5,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True
4.0.0,1,2011-12-07,PubSubProtocol.PubSubRequest.Builder.java,PubSubProtocol.PubSubRequest.Builder,org.apache.hedwig.protocol.PubSubProtocol.PubSubRequest.Builder.getTriedServersCount(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.0.0,1,2011-12-07,PubSubProtocol.StopDeliveryRequest.java,PubSubProtocol.StopDeliveryRequest,org.apache.hedwig.protocol.PubSubProtocol.StopDeliveryRequest.toBuilder(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.0.0,1,2011-12-07,PubSubProtocol.SubscribeRequest.Builder.java,PubSubProtocol.SubscribeRequest.Builder,org.apache.hedwig.protocol.PubSubProtocol.SubscribeRequest.Builder.getDescriptorForType(),3,1,0,0,1,0,0,1,0,1,1,13,4,9,1,1,13,4,9,False
4.0.0,1,2011-12-07,MarkerFileChannel.java,MarkerFileChannel,org.apache.bookkeeper.bookie.MarkerFileChannel.size(),4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.0.0,1,2011-12-07,LedgerHandle.SyncReadLastConfirmedCallback.java,LedgerHandle.SyncReadLastConfirmedCallback,"org.apache.bookkeeper.client.LedgerHandle.SyncReadLastConfirmedCallback.readLastConfirmedComplete(int, long, Object)",8,2,3,1,1,0,0,1,0,1,1,43,12,31,1,1,43,12,31,False
4.0.0,1,2011-12-07,PubSubProtocol.SubscriptionState.Builder.java,PubSubProtocol.SubscriptionState.Builder,org.apache.hedwig.protocol.PubSubProtocol.SubscriptionState.Builder.clearMsgId(),5,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.0.0,1,2011-12-07,MarkerFileChannel.java,MarkerFileChannel,org.apache.bookkeeper.bookie.MarkerFileChannel.read(ByteBuffer),4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.0.0,1,2011-12-07,PubSubProtocol.PubSubRequest.java,PubSubProtocol.PubSubRequest,"org.apache.hedwig.protocol.PubSubProtocol.PubSubRequest.parseFrom(byte[], com.google.protobuf.ExtensionRegistryLite)",3,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.0.0,1,2011-12-07,Bookie.java,Bookie,org.apache.bookkeeper.bookie.Bookie.getLastLogMark(),3,1,0,0,1,0,0,1,0,1,1,4,4,0,1,1,4,4,0,False
4.0.0,1,2011-12-07,PubSubProtocol.MessageSeqId.Builder.java,PubSubProtocol.MessageSeqId.Builder,org.apache.hedwig.protocol.PubSubProtocol.MessageSeqId.Builder.getLocalComponent(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.0.0,1,2011-12-07,PubSubProtocol.StopDeliveryRequest.java,PubSubProtocol.StopDeliveryRequest,org.apache.hedwig.protocol.PubSubProtocol.StopDeliveryRequest.hasSubscriberId(),3,1,0,0,1,0,0,1,0,1,1,30,7,23,1,1,30,7,23,False
4.0.0,1,2011-12-07,FileUtils.java,FileUtils,org.apache.hedwig.util.FileUtils.createTempDirectory(String),3,1,1,0,1,0,0,1,0,1,1,97,97,0,1,1,97,97,0,False
4.0.0,1,2011-12-07,PubSubProtocol.StopDeliveryRequest.Builder.java,PubSubProtocol.StopDeliveryRequest.Builder,org.apache.hedwig.protocol.PubSubProtocol.StopDeliveryRequest.Builder.getDescriptorForType(),3,1,0,0,1,0,0,1,0,1,1,110,109,1,1,1,110,109,1,False
4.0.0,1,2011-12-07,LedgerHandle.LastConfirmedCtx.java,LedgerHandle.LastConfirmedCtx,org.apache.bookkeeper.client.LedgerHandle.LastConfirmedCtx.setLastConfirmed(long),3,1,1,0,1,0,0,1,0,1,1,26,23,3,1,1,26,23,3,False
4.0.0,1,2011-12-07,FIFODeliveryManager.ActiveSubscriberState.java,FIFODeliveryManager.ActiveSubscriberState,org.apache.hedwig.server.delivery.FIFODeliveryManager.ActiveSubscriberState.setNotConnected(),4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.0.0,1,2011-12-07,CRC32DigestManager.java,CRC32DigestManager,org.apache.bookkeeper.client.CRC32DigestManager.getValueAndReset(),7,5,0,2,1,0,0,2,0,1,1,2,1,1,1,1,2,1,1,False
4.0.0,1,2011-12-07,AbstractTopicManager.java,AbstractTopicManager,"org.apache.hedwig.server.topics.AbstractTopicManager.postReleaseCleanup(ByteString, Callback, Object)",0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.0.0,1,2011-12-07,ResponseHandler.java,ResponseHandler,"org.apache.hedwig.client.netty.ResponseHandler.exceptionCaught(ChannelHandlerContext, ExceptionEvent)",4,2,2,0,1,0,0,1,0,1,1,2,1,1,1,1,2,1,1,False
4.0.0,1,2011-12-07,PubSubProtocol.RegionSpecificSeqId.java,PubSubProtocol.RegionSpecificSeqId,org.apache.hedwig.protocol.PubSubProtocol.RegionSpecificSeqId.parseFrom(com.google.protobuf.CodedInputStream),3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.0.0,1,2011-12-07,PubSubProtocol.LedgerRanges.Builder.java,PubSubProtocol.LedgerRanges.Builder,org.apache.hedwig.protocol.PubSubProtocol.LedgerRanges.Builder.getRanges(int),3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
