Version,ReleaseIndex,ReleaseData,File,Class,Signature,LOC,NumStatements,NumParams,NumLocalVars,Cyclomatic,CognitiveComplexity,NestingDepth,ReturnTypeComplexity,CodeSmells,NR,NAuth,LOC_Added,MAX_LOC_Added,AVG_LOC_Added,LOC_Deleted,MAX_LOC_Deleted,AVG_LOC_Deleted,Churn,MAX_Churn,AVG_Churn,Global_NR,Global_NAuth,Global_LOC_Added,Global_MAX_LOC_Added,Global_AVG_LOC_Added,Global_LOC_Deleted,Global_MAX_LOC_Deleted,Global_AVG_LOC_Deleted,Global_Churn,Global_MAX_Churn,Global_AVG_Churn,isBuggy
4.0.0,1,2011-12-07,PubSubProtocol.MessageSeqId.Builder.java,PubSubProtocol.MessageSeqId.Builder,org.apache.hedwig.protocol.PubSubProtocol.MessageSeqId.Builder.buildPartial(),11,5,0,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.0.0,1,2011-12-07,BenchmarkUtils.BenchmarkCallback.java,BenchmarkUtils.BenchmarkCallback,org.apache.hedwig.client.benchmark.BenchmarkUtils.BenchmarkCallback.finish(boolean),5,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.0.0,1,2011-12-07,LedgerHandle.SyncReadLastConfirmedCallback.java,LedgerHandle.SyncReadLastConfirmedCallback,"'org.apache.bookkeeper.client.LedgerHandle.SyncReadLastConfirmedCallback.readLastConfirmedComplete(int, long, Object)'",8,2,3,1,1,0,0,1,0,1,1,12,12,12,31,31,31,43,43,43,1,1,12,12,12,31,31,31,43,43,43,False
4.0.0,1,2011-12-07,PubSubProtocol.SubscriptionState.Builder.java,PubSubProtocol.SubscriptionState.Builder,org.apache.hedwig.protocol.PubSubProtocol.SubscriptionState.Builder.clearMsgId(),5,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.0.0,1,2011-12-07,ResponseHandler.java,ResponseHandler,"'org.apache.hedwig.client.netty.ResponseHandler.exceptionCaught(ChannelHandlerContext, ExceptionEvent)'",4,2,2,0,1,0,0,1,0,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,False
4.0.0,1,2011-12-07,ConnectCallback.java,ConnectCallback,org.apache.hedwig.client.netty.ConnectCallback.operationComplete(ChannelFuture),61,4,1,1,9,10,3,1,0,4,2,125,122,31.25,3,1,0.75,128,122,32,4,2,125,122,31.25,3,1,0.75,128,122,32,False
4.0.0,1,2011-12-07,PubSubProtocol.PubSubRequest.Builder.java,PubSubProtocol.PubSubRequest.Builder,org.apache.hedwig.protocol.PubSubProtocol.PubSubRequest.Builder.mergeFrom(org.apache.hedwig.protocol.PubSubProtocol.PubSubRequest),45,15,1,0,15,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.0.0,1,2011-12-07,HierarchicalLedgerManager.java,HierarchicalLedgerManager,"'org.apache.bookkeeper.meta.HierarchicalLedgerManager.asyncProcessLevelNodes(String, Processor, AsyncCallback.VoidCallback, Object, int, int)'",27,1,6,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.0.0,1,2011-12-07,PubSubProtocol.RegionSpecificSeqId.Builder.java,PubSubProtocol.RegionSpecificSeqId.Builder,org.apache.hedwig.protocol.PubSubProtocol.RegionSpecificSeqId.Builder.create(),5,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.0.0,1,2011-12-07,PubSubProtocol.PubSubResponse.Builder.java,PubSubProtocol.PubSubResponse.Builder,"'org.apache.hedwig.protocol.PubSubProtocol.PubSubResponse.Builder.mergeFrom(com.google.protobuf.CodedInputStream, com.google.protobuf.ExtensionRegistryLite)'",71,2,2,7,14,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.0.0,1,2011-12-07,PubSubProtocol.RegionSpecificSeqId.Builder.java,PubSubProtocol.RegionSpecificSeqId.Builder,org.apache.hedwig.protocol.PubSubProtocol.RegionSpecificSeqId.Builder.buildPartial(),8,4,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.0.0,1,2011-12-07,PubSubProtocol.PubSubRequest.Builder.java,PubSubProtocol.PubSubRequest.Builder,org.apache.hedwig.protocol.PubSubProtocol.PubSubRequest.Builder.clearStopDeliveryRequest(),5,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.0.0,1,2011-12-07,FileInfo.java,FileInfo,"'org.apache.bookkeeper.bookie.FileInfo.readAbsolute(ByteBuffer, long)'",13,3,2,2,3,3,2,1,0,2,1,3,2,1.5,1,1,0.5,4,2,2,2,1,3,2,1.5,1,1,0.5,4,2,2,False
4.0.0,1,2011-12-07,PubSubProtocol.MessageSeqId.Builder.java,PubSubProtocol.MessageSeqId.Builder,"'org.apache.hedwig.protocol.PubSubProtocol.MessageSeqId.Builder.setRemoteComponents(int, org.apache.hedwig.protocol.PubSubProtocol.RegionSpecificSeqId.Builder)'",4,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.0.0,1,2011-12-07,PubSubProtocol.PubSubResponse.Builder.java,PubSubProtocol.PubSubResponse.Builder,org.apache.hedwig.protocol.PubSubProtocol.PubSubResponse.Builder.setSubscriberId(com.google.protobuf.ByteString),8,4,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.0.0,1,2011-12-07,PubSubProtocol.PubSubRequest.Builder.java,PubSubProtocol.PubSubRequest.Builder,org.apache.hedwig.protocol.PubSubProtocol.PubSubRequest.Builder.clearProtocolVersion(),5,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.0.0,1,2011-12-07,BookKeeperAdmin.java,BookKeeperAdmin,"'org.apache.bookkeeper.client.BookKeeperAdmin.recoverLedger(InetSocketAddress, long, AsyncCallback.VoidCallback, List)'",90,4,4,11,11,12,3,1,0,5,1,10,4,2,30,24,6,40,28,8,5,1,10,4,2,30,24,6,40,28,8,False
4.0.0,1,2011-12-07,HedwigSubscriber.java,HedwigSubscriber,"'org.apache.hedwig.client.netty.HedwigSubscriber.asyncSubUnsub(ByteString, ByteString, Callback, Object, OperationType, CreateOrAttach)'",35,3,6,2,4,4,2,1,0,3,1,4,2,1.333333,4,2,1.333333,8,4,2.666667,3,1,4,2,1.333333,4,2,1.333333,8,4,2.666667,False
4.0.0,1,2011-12-07,PubSubProtocol.Message.Builder.java,PubSubProtocol.Message.Builder,org.apache.hedwig.protocol.PubSubProtocol.Message.Builder.create(),5,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.0.0,1,2011-12-07,PubSubProtocol.SubscriptionState.Builder.java,PubSubProtocol.SubscriptionState.Builder,org.apache.hedwig.protocol.PubSubProtocol.SubscriptionState.Builder.setMsgId(org.apache.hedwig.protocol.PubSubProtocol.MessageSeqId),8,4,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.0.0,1,2011-12-07,ServerStats.java,ServerStats,org.apache.bookkeeper.proto.ServerStats.unregister(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.0.0,1,2011-12-07,SubscribeResponseHandler.java,SubscribeResponseHandler,"'org.apache.hedwig.client.handlers.SubscribeResponseHandler.handleSubscribeResponse(PubSubResponse, PubSubData, Channel)'",64,3,3,1,7,3,1,1,0,9,2,17,5,1.888889,15,5,1.666667,32,10,3.555556,9,2,17,5,1.888889,15,5,1.666667,32,10,3.555556,True
4.0.0,1,2011-12-07,PubSubProtocol.PubSubResponse.Builder.java,PubSubProtocol.PubSubResponse.Builder,org.apache.hedwig.protocol.PubSubProtocol.PubSubResponse.Builder.clone(),3,1,0,0,1,0,0,1,0,1,1,3,3,3,9,9,9,12,12,12,1,1,3,3,3,9,9,9,12,12,12,True
4.0.0,1,2011-12-07,LedgerRecoveryOp.java,LedgerRecoveryOp,"'org.apache.bookkeeper.client.LedgerRecoveryOp.readEntryComplete(int, long, long, ChannelBuffer, Object)'",42,8,5,3,7,8,3,1,0,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,False
