Version,ReleaseIndex,ReleaseData,File,Class,Signature,LOC,NumStatements,NumParams,NumLocalVars,Cyclomatic,CognitiveComplexity,NestingDepth,ReturnTypeComplexity,CodeSmells,NR,NAuth,LOC_Added,MAX_LOC_Added,AVG_LOC_Added,LOC_Deleted,MAX_LOC_Deleted,AVG_LOC_Deleted,Churn,MAX_Churn,AVG_Churn,Global_NR,Global_NAuth,Global_LOC_Added,Global_MAX_LOC_Added,Global_AVG_LOC_Added,Global_LOC_Deleted,Global_MAX_LOC_Deleted,Global_AVG_LOC_Deleted,Global_Churn,Global_MAX_Churn,Global_AVG_Churn,isBuggy
4.0.0,1,2011-12-07,PendingReadOp.java,PendingReadOp,org.apache.bookkeeper.client.PendingReadOp.submitCallback(int),3,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,True
4.0.0,1,2011-12-07,LedgerEntryPage.java,LedgerEntryPage,org.apache.bookkeeper.bookie.LedgerEntryPage.getLastEntry(),8,2,0,1,3,3,2,1,0,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,False
4.0.0,1,2011-12-07,HedwigClient.java,HedwigClient,org.apache.hedwig.client.HedwigClient.close(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.0.0,1,2011-12-07,SafeAsynBKCallback.CreateCallback.java,SafeAsynBKCallback.CreateCallback,"'org.apache.hedwig.zookeeper.SafeAsynBKCallback.CreateCallback.safeCreateComplete(int, LedgerHandle, Object)'",0,0,3,0,1,0,0,1,0,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,False
4.0.0,1,2011-12-07,AbstractSubscriptionManager.java,AbstractSubscriptionManager,"'org.apache.hedwig.server.subscriptions.AbstractSubscriptionManager.createSubscriptionState(ByteString, ByteString, SubscriptionState, Callback, Object)'",0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.0.0,1,2011-12-07,PubSubProtocol.PubSubRequest.java,PubSubProtocol.PubSubRequest,org.apache.hedwig.protocol.PubSubProtocol.PubSubRequest.hasStartDeliveryRequest(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.0.0,1,2011-12-07,PubSubProtocol.SubscribeRequest.Builder.java,PubSubProtocol.SubscribeRequest.Builder,org.apache.hedwig.protocol.PubSubProtocol.SubscribeRequest.Builder.getCreateOrAttach(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.0.0,1,2011-12-07,BookieServer.java,BookieServer,org.apache.bookkeeper.proto.BookieServer.join(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.0.0,1,2011-12-07,NIOServerFactory.Cnxn.java,NIOServerFactory.Cnxn,org.apache.bookkeeper.proto.NIOServerFactory.Cnxn.getStats(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.0.0,1,2011-12-07,PubSubProtocol.LedgerRanges.java,PubSubProtocol.LedgerRanges,org.apache.hedwig.protocol.PubSubProtocol.LedgerRanges.getRangesCount(),3,1,0,0,1,0,0,1,0,1,1,2,2,2,8,8,8,10,10,10,1,1,2,2,2,8,8,8,10,10,10,True
