Project,Run,Classifier,Sampling,FeatureSelection,ReleaseIndex,Precision,Recall,F-Measure,AUC,Kappa,NPofB20,SelectedFeatures
BOOKKEEPER,1,RandomForest,NoSampling,NoSelection,2,0.5789,0.0651,0.1170,0.7815,0.1055,0.3077,LOC;NumStatements;NumParams;NumLocalVars;Cyclomatic;CognitiveComplexity;NestingDepth;ReturnTypeComplexity;CodeSmells;NR;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;LOC_Deleted;MAX_LOC_Deleted;AVG_LOC_Deleted;Churn;MAX_Churn;AVG_Churn;Global_NR;Global_NAuth;Global_LOC_Added;Global_MAX_LOC_Added;Global_AVG_LOC_Added;Global_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Deleted;Global_Churn;Global_MAX_Churn;Global_AVG_Churn
BOOKKEEPER,1,RandomForest,NoSampling,NoSelection,3,0.7778,0.0223,0.0434,0.6439,0.0273,0.1110,LOC;NumStatements;NumParams;NumLocalVars;Cyclomatic;CognitiveComplexity;NestingDepth;ReturnTypeComplexity;CodeSmells;NR;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;LOC_Deleted;MAX_LOC_Deleted;AVG_LOC_Deleted;Churn;MAX_Churn;AVG_Churn;Global_NR;Global_NAuth;Global_LOC_Added;Global_MAX_LOC_Added;Global_AVG_LOC_Added;Global_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Deleted;Global_Churn;Global_MAX_Churn;Global_AVG_Churn
BOOKKEEPER,1,RandomForest,NoSampling,NoSelection,4,0.3253,0.1123,0.1669,0.6305,0.1260,0.2391,LOC;NumStatements;NumParams;NumLocalVars;Cyclomatic;CognitiveComplexity;NestingDepth;ReturnTypeComplexity;CodeSmells;NR;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;LOC_Deleted;MAX_LOC_Deleted;AVG_LOC_Deleted;Churn;MAX_Churn;AVG_Churn;Global_NR;Global_NAuth;Global_LOC_Added;Global_MAX_LOC_Added;Global_AVG_LOC_Added;Global_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Deleted;Global_Churn;Global_MAX_Churn;Global_AVG_Churn
BOOKKEEPER,1,RandomForest,NoSampling,BestFirst,2,0.3871,0.0710,0.1200,0.6798,0.1023,0.2426,NumLocalVars;NestingDepth;NR;Global_NR
BOOKKEEPER,1,RandomForest,NoSampling,BestFirst,3,0.7692,0.0191,0.0373,0.6057,0.0232,0.1186,LOC;NumStatements;NumLocalVars;Cyclomatic;LOC_Added;Global_NR;Global_AVG_LOC_Deleted
BOOKKEEPER,1,RandomForest,NoSampling,BestFirst,4,NaN,0.0000,NaN,0.5000,0.0000,0.1996,AVG_LOC_Added;AVG_LOC_Deleted;AVG_Churn
BOOKKEEPER,1,RandomForest,NoSampling,InfoGain,2,0.5263,0.0592,0.1064,0.7689,0.0947,0.3491,LOC;Global_NR;NR;Cyclomatic;CognitiveComplexity;NestingDepth;NumStatements;Global_AVG_LOC_Deleted;AVG_LOC_Deleted;NumLocalVars;Global_NAuth;NAuth;Global_LOC_Added;LOC_Added;Churn;Global_Churn;LOC_Deleted;Global_LOC_Deleted;MAX_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Added;AVG_LOC_Added;MAX_LOC_Added;Global_MAX_LOC_Added;AVG_Churn;MAX_Churn;Global_MAX_Churn;Global_AVG_Churn;NumParams
BOOKKEEPER,1,RandomForest,NoSampling,InfoGain,3,0.7308,0.0121,0.0238,0.6533,0.0143,0.1167,LOC;Cyclomatic;CognitiveComplexity;Global_NR;NestingDepth;NumLocalVars;NumStatements;Global_NAuth;NR;Global_AVG_LOC_Deleted;Global_LOC_Added;Global_AVG_Churn;Global_Churn;Global_LOC_Deleted;NAuth;LOC_Added;Global_MAX_LOC_Deleted;Global_AVG_LOC_Added;Global_MAX_LOC_Added;Global_MAX_Churn;AVG_LOC_Added;MAX_LOC_Added;MAX_Churn;AVG_Churn;Churn;AVG_LOC_Deleted;MAX_LOC_Deleted;LOC_Deleted;NumParams
BOOKKEEPER,1,RandomForest,NoSampling,InfoGain,4,0.2475,0.1040,0.1464,0.6365,0.0978,0.2557,AVG_Churn;MAX_LOC_Added;AVG_LOC_Added;MAX_Churn;Churn;LOC_Added;NR;AVG_LOC_Deleted;NAuth;Global_AVG_Churn;LOC_Deleted;MAX_LOC_Deleted;Global_Churn;Global_AVG_LOC_Added;Global_MAX_Churn;Global_AVG_LOC_Deleted;Global_LOC_Added;Global_MAX_LOC_Added;Global_NR;Global_MAX_LOC_Deleted;Global_NAuth;Global_LOC_Deleted;LOC;NumStatements;Cyclomatic;CognitiveComplexity;NestingDepth;NumParams;NumLocalVars;ReturnTypeComplexity
BOOKKEEPER,1,RandomForest,SMOTE,NoSelection,2,0.2857,0.1657,0.2097,0.7501,0.1710,0.2959,LOC;NumStatements;NumParams;NumLocalVars;Cyclomatic;CognitiveComplexity;NestingDepth;ReturnTypeComplexity;CodeSmells;NR;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;LOC_Deleted;MAX_LOC_Deleted;AVG_LOC_Deleted;Churn;MAX_Churn;AVG_Churn;Global_NR;Global_NAuth;Global_LOC_Added;Global_MAX_LOC_Added;Global_AVG_LOC_Added;Global_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Deleted;Global_Churn;Global_MAX_Churn;Global_AVG_Churn
